MACHO_Id,Amplitude,AndersonDarling,B_R,Beyond1Std,Bmean,CAR_sigma,CAR_tau,CAR_tmean,Con,Eta_B_R,Eta_e,FluxPercentileRatioMid20,FluxPercentileRatioMid35,FluxPercentileRatioMid50,FluxPercentileRatioMid65,FluxPercentileRatioMid80,LinearTrend,MaxSlope,MedianAbsDev,MedianBRP,PairSlopeTrend,PercentAmplitude,PercentDifferenceFluxPercentile,PeriodLS,Period_fit,Q31,Q31B_R,Rcs,Skew,SlottedA,SmallKurtosis,Std,StetsonJ,StetsonK,StetsonK_AC,StetsonL,autocor,automean,meanvariance,Psi_CS,Psi_eta,Class
1.3567.1310,0.157,27.18164317,-0.303912665,0.282718121,-6.281766779,-0.004240622,427.7149327,-0.014686807,0.002521008,333.3824581,446.3081654,0.145985401,0.281021898,0.430656934,0.635036496,0.835766423,-3.48E-05,21.19116662,0.0495,0.682885906,0.033333333,-0.069996036,-0.043440349,2329.490774,1.61E-144,0.118,0.08025,0.368323214,0.668891397,228,0.448066396,0.088776656,0.644245662,0.809746131,0.886472838,0.474309525,162,-6.281766779,-0.014132434,0.368323214,0.51839523,4
1.4176.155,0.138,17.17377942,-0.335222343,0.386904762,-7.107582483,-0.023036053,29.77406391,-0.238717244,0,1109.879537,98.25488953,0.21031746,0.384920635,0.579365079,0.722222222,0.884920635,1.07E-04,6.362237043,0.066,0.490646259,-0.1,-0.054122622,-0.03551797,5445.695556,9.52E-201,0.146,0.064,0.403466184,-0.173717471,388,-0.497284667,0.085228435,0.77062499,0.846353884,0.90010169,0.724993329,274,-7.107582483,-0.011991199,0.403466184,0.239444074,4
1.4410.291,0.106,9.093809551,-0.354688053,0.255854293,-6.377084128,-0.008781844,50.50445868,-0.126267745,0.001737619,1328.89886,793.2959521,0.131428571,0.228571429,0.36,0.52,0.748571429,4.68E-05,10.17869261,0.031,0.820468343,0.033333333,-0.055241682,-0.027463905,5445.695556,9.26E-82,0.063,0.071,0.267160736,-0.06383566,120,4.734699739,0.057065557,0.493911819,0.726139445,0.854988259,0.329324095,44,-6.377084128,-0.008948534,0.267160736,1.027762677,4
1.4413.373,0.116,8.41315529,-0.390853536,0.254113346,-6.417344607,-0.060632809,1.273618945,-5.038669245,9.16E-04,1021.922601,1387.327886,0.13559322,0.265536723,0.412429379,0.548022599,0.751412429,1.29E-05,23.08876346,0.035,0.775137112,0.1,-0.060209016,-0.027608797,1811.905015,9.50E-39,0.073,0.065,0.218566282,0.133242275,108,3.211053259,0.05880362,0.41672398,0.750832631,0.817134389,0.305398503,4,-6.417344607,-0.009163232,0.218566282,1.238836986,4
1.4530.136,0.122,39.45847504,-0.042178752,0.293536804,-6.649898564,-0.001677956,9127.480252,-7.29E-04,0.008093525,1382.295628,141.2795344,0.141552511,0.269406393,0.465753425,0.680365297,0.863013699,7.71E-05,5.08854061,0.038,0.509874327,-0.033333333,-0.039541201,-0.033051615,4084.257275,2.46E-161,0.102,0.045,0.388180656,-0.799800667,296,-0.377686243,0.071318561,0.690783514,0.828857362,0.90260779,0.565604675,209,-6.649898564,-0.010724759,0.388180656,0.292394762,4
1.4538.531,0.1915,5.912845501,-0.322176788,0.254208754,-6.165701178,-0.027396742,20.78650428,-0.296620398,0.006745363,1514.880731,1723.720005,0.139158576,0.229773463,0.362459547,0.504854369,0.69579288,-7.69E-05,36.35958062,0.056,0.768518519,-0.1,-0.086061588,-0.050081037,5445.695556,3.88E-82,0.112,0.079,0.243630402,0.528694361,164,2.289687334,0.094180753,0.507569838,0.750654954,0.85617434,0.391052801,71,-6.165701178,-0.015274946,0.243630402,0.839437747,4
1.4653.105,0.1555,3.913813284,-0.384584937,0.318853171,-7.543052129,-0.014714759,94.81756441,-0.079553321,0.024369017,599.4011315,79.8994056,0.135231317,0.238434164,0.366548043,0.537366548,0.729537367,-1.04E-05,5.632669485,0.052,0.430060817,-0.233333333,-0.028366914,-0.037248144,2721.8575,1.51E-153,0.1025,0.0365,0.370618846,0.338493044,376,-0.173813596,0.079189184,0.729732592,0.793550291,0.893280115,0.560621048,75,-7.543052129,-0.010498295,0.370618846,0.189654509,4
1.4659.335,0.141,1.55448098,-0.338130072,0.29673093,-6.976472758,-0.012214516,82.71199255,-0.084346569,0.010915197,4763.705082,457.0713368,0.173160173,0.303030303,0.428571429,0.567099567,0.727272727,-8.99E-05,12.11986021,0.049,0.544006706,-0.166666667,-0.049741972,-0.033113532,8168.543334,8.40E-191,0.099,0.039,0.370782929,0.308589121,408,0.745731839,0.071597209,0.684333197,0.797822257,0.888128633,0.502180026,238,-6.976472758,-0.010262666,0.370782929,0.36370043,4
10.4279.1493,0.15325,14.83665177,-0.199253424,0.38566131,-8.228273177,-0.007745307,357.6149853,-0.023008748,0.002478315,3928.319027,20.1428462,0.204301075,0.387096774,0.53046595,0.659498208,0.827956989,1.15E-04,1.861585632,0.066,0.322620519,0.033333333,-0.029447407,-0.033809985,8168.435763,3.92E-156,0.148,0.029,0.429251809,0.389664271,660,-0.942977467,0.088345908,0.818478277,0.866580757,0.844906426,0.679950866,199,-8.228273177,-0.010736871,0.429251809,0.102594972,4
11.8751.968,0.48125,9.487874992,0.386471627,0.251831502,-4.91597619,-0.0168203,216.6598277,-0.022689837,0.003669725,577.0767854,405.7007256,0.168627451,0.295424837,0.416993464,0.547712418,0.755555556,1.21E-04,43.9836632,0.1505,0.664835165,-0.1,-0.222749773,-0.154561067,2698.898692,3.68E-77,0.31925,0.158,0.283296735,0.46464571,120,1.554634499,0.24569608,0.59909934,0.778153995,0.785756655,0.443962124,44,-4.91597619,-0.049979103,0.283296735,0.785167813,4
